case_name,seed,method,final_hv,normalized_final_hv,auc_hv,normalized_auc_hv,hv_25,hv_50,hv_75,archive_size,direction_coverage,feasibility_rate,valid_sample_efficiency,duplicate_rate_mean,runtime,eval_budget,wins_final_hv_against_fixed,wins_auc_hv_against_fixed,wins_coverage_against_fixed
high_conflict_tradeoff_case,0,Adaptive resources only,0.6916844048923743,0.6860198624904508,0.5023806809219156,0.49826643944291016,0.32945957969882195,0.6589191593976439,0.6753017821450091,18,0.6,1.0,1.0,0.0,0.047685861587524414,400,False,False,True
high_conflict_tradeoff_case,0,Adaptive weights + CVaR,0.7196504010470085,0.7137568314038902,0.5093721799605742,0.5052006816712701,0.32945957969882195,0.6589191593976439,0.6892847802223262,13,0.5,1.0,1.0,0.0,0.039485931396484375,400,False,False,True
high_conflict_tradeoff_case,0,Adaptive weights + diversity,0.7196504010470085,0.7137568314038902,0.5093721799605742,0.5052006816712701,0.32945957969882195,0.6589191593976439,0.6892847802223262,13,0.5,1.0,1.0,0.0,0.04274749755859375,400,False,False,True
high_conflict_tradeoff_case,0,Full AI-Adaptive Pareto-QAOA,0.7196504010470085,0.7137568314038902,0.5093721799605742,0.5052006816712701,0.32945957969882195,0.6589191593976439,0.6892847802223262,13,0.5,1.0,1.0,0.0,0.042908430099487305,400,False,False,True
high_conflict_tradeoff_case,0,Replay-Adaptive Schedule,0.6032241670557874,0.5982840688723042,0.40658825659351516,0.40325850619968273,0.25578221482956826,0.5115644296591365,0.557394298357462,12,0.5,1.0,0.7,0.0,0.05485677719116211,400,False,False,True
high_conflict_tradeoff_case,1,Fixed Pareto-QAOA,0.8778765163058724,0.8552132429014829,0.651887771996405,0.6350586274284402,0.43241864291993676,0.8648372858398735,0.871356901072873,16,0.4,1.0,1.0,0.0,0.042993783950805664,400,False,False,False
high_conflict_tradeoff_case,1,Adaptive weights only,0.8535090856160192,0.8314748821703645,0.606294716147533,0.5906426025979997,0.3929174447435283,0.7858348894870566,0.8196719875515379,7,0.6,1.0,0.65,0.0,0.05152750015258789,400,False,False,True
high_conflict_tradeoff_case,1,Adaptive CVaR only,0.7896699572711738,0.7692838257270951,0.5903349340613218,0.5750948384871825,0.3929174447435283,0.7858348894870566,0.7877524233791152,13,0.6,1.0,1.0,0.0,0.04500079154968262,400,False,False,True
high_conflict_tradeoff_case,1,Adaptive candidate diversity only,0.7896699572711738,0.7692838257270951,0.5903349340613218,0.5750948384871825,0.3929174447435283,0.7858348894870566,0.7877524233791152,13,0.6,1.0,1.0,0.0,0.04765033721923828,400,False,False,True
high_conflict_tradeoff_case,1,Adaptive resources only,0.7896699572711738,0.7692838257270951,0.5903349340613218,0.5750948384871825,0.3929174447435283,0.7858348894870566,0.7877524233791152,13,0.6,1.0,1.0,0.0,0.04659605026245117,400,False,False,True
high_conflict_tradeoff_case,1,Adaptive weights + CVaR,0.8535090856160192,0.8314748821703645,0.606294716147533,0.5906426025979997,0.3929174447435283,0.7858348894870566,0.8196719875515379,7,0.6,1.0,0.65,0.0,0.0490107536315918,400,False,False,True
high_conflict_tradeoff_case,1,Adaptive weights + diversity,0.8535090856160192,0.8314748821703645,0.606294716147533,0.5906426025979997,0.3929174447435283,0.7858348894870566,0.8196719875515379,7,0.6,1.0,0.65,0.0,0.04881691932678223,400,False,False,True
high_conflict_tradeoff_case,1,Full AI-Adaptive Pareto-QAOA,0.8535090856160192,0.8314748821703645,0.606294716147533,0.5906426025979997,0.3929174447435283,0.7858348894870566,0.8196719875515379,7,0.6,1.0,0.65,0.0,0.0503697395324707,400,False,False,True
high_conflict_tradeoff_case,1,Replay-Adaptive Schedule,0.7920299989844769,0.7715829405678815,0.5822222906718431,0.5671916312219798,0.38421479092572364,0.7684295818514472,0.780229790417962,16,0.5,1.0,1.0,0.0,0.044830322265625,400,False,False,True
high_conflict_tradeoff_case,2,Fixed Pareto-QAOA,0.6647978427255424,0.7012819726430717,0.4758337222499602,0.5019474943261976,0.3096342615685746,0.6192685231371492,0.6420331829313458,16,0.5,1.0,1.0,0.0,0.06832742691040039,400,False,False,False
high_conflict_tradeoff_case,2,Adaptive weights only,0.6786950424466485,0.7159418511930319,0.44959476252548713,0.47426853953260134,0.279921001913825,0.55984200382765,0.6192685231371493,11,0.5,1.0,0.7,0.0,0.0395200252532959,400,True,False,False
high_conflict_tradeoff_case,2,Adaptive CVaR only,0.658924967529594,0.6950867938416242,0.4446522437962236,0.4690547751947495,0.279921001913825,0.55984200382765,0.609383485678622,12,0.4,1.0,0.7,0.0,0.04599642753601074,400,False,False,False
high_conflict_tradeoff_case,2,Adaptive candidate diversity only,0.658924967529594,0.6950867938416242,0.4446522437962236,0.4690547751947495,0.279921001913825,0.55984200382765,0.609383485678622,12,0.4,1.0,0.7,0.0,0.04571270942687988,400,False,False,False
high_conflict_tradeoff_case,2,Adaptive resources only,0.658924967529594,0.6950867938416242,0.4446522437962236,0.4690547751947495,0.279921001913825,0.55984200382765,0.609383485678622,12,0.4,1.0,0.7,0.0,0.0484619140625,400,False,False,False
high_conflict_tradeoff_case,2,Adaptive weights + CVaR,0.6786950424466485,0.7159418511930319,0.44959476252548713,0.47426853953260134,0.279921001913825,0.55984200382765,0.6192685231371493,11,0.5,1.0,0.7,0.0,0.04200172424316406,400,True,False,False
high_conflict_tradeoff_case,2,Adaptive weights + diversity,0.6786950424466485,0.7159418511930319,0.44959476252548713,0.47426853953260134,0.279921001913825,0.55984200382765,0.6192685231371493,11,0.5,1.0,0.7,0.0,0.04099321365356445,400,True,False,False
high_conflict_tradeoff_case,2,Full AI-Adaptive Pareto-QAOA,0.6786950424466485,0.7159418511930319,0.44959476252548713,0.47426853953260134,0.279921001913825,0.55984200382765,0.6192685231371493,11,0.5,1.0,0.7,0.0,0.040221452713012695,400,True,False,False
high_conflict_tradeoff_case,2,Replay-Adaptive Schedule,0.8220280855952938,0.8671410169907379,0.5680553070101029,0.5992302030301171,0.36254828561127944,0.7250965712225589,0.7735623284089264,13,0.7,1.0,1.0,0.0,0.04508519172668457,400,True,True,True
high_conflict_tradeoff_case,3,Fixed Pareto-QAOA,0.8368892253087192,0.8900908697533536,0.5620479221502634,0.5977777090931571,0.3528256158230836,0.7056512316461672,0.7712702284774432,11,0.4,1.0,0.8,0.0,0.05052065849304199,400,False,False,False
high_conflict_tradeoff_case,3,Adaptive weights only,0.840783355324393,0.8942325523891947,0.6282336020808353,0.6681708598627683,0.418037763249737,0.836075526499474,0.8384294409119335,16,0.6,1.0,1.0,0.0,0.047461509704589844,400,True,True,True
high_conflict_tradeoff_case,3,Adaptive CVaR only,0.8406089912938403,0.8940471039129628,0.628190011073197,0.6681244977437102,0.418037763249737,0.836075526499474,0.8383422588966571,14,0.6,1.0,1.0,0.0,0.04703021049499512,400,True,True,True
high_conflict_tradeoff_case,3,Adaptive candidate diversity only,0.8406089912938403,0.8940471039129628,0.628190011073197,0.6681244977437102,0.418037763249737,0.836075526499474,0.8383422588966571,14,0.6,1.0,1.0,0.0,0.06728911399841309,400,True,True,True
high_conflict_tradeoff_case,3,Adaptive resources only,0.8406089912938403,0.8940471039129628,0.628190011073197,0.6681244977437102,0.418037763249737,0.836075526499474,0.8383422588966571,14,0.6,1.0,1.0,0.0,0.04925370216369629,400,True,True,True
high_conflict_tradeoff_case,3,Adaptive weights + CVaR,0.840783355324393,0.8942325523891947,0.6282336020808353,0.6681708598627683,0.418037763249737,0.836075526499474,0.8384294409119335,16,0.6,1.0,1.0,0.0,0.04871392250061035,400,True,True,True
high_conflict_tradeoff_case,3,Adaptive weights + diversity,0.840783355324393,0.8942325523891947,0.6282336020808353,0.6681708598627683,0.418037763249737,0.836075526499474,0.8384294409119335,16,0.6,1.0,1.0,0.0,0.047545671463012695,400,True,True,True
high_conflict_tradeoff_case,3,Full AI-Adaptive Pareto-QAOA,0.840783355324393,0.8942325523891947,0.6282336020808353,0.6681708598627683,0.418037763249737,0.836075526499474,0.8384294409119335,16,0.6,1.0,1.0,0.0,0.04950237274169922,400,True,True,True
high_conflict_tradeoff_case,3,Replay-Adaptive Schedule,0.8538606576158341,0.9081411881065712,0.6389133989521789,0.679529579031959,0.42544823454822034,0.8508964690964407,0.8523785633561374,10,0.4,1.0,1.0,0.0,0.04859805107116699,400,True,True,False
high_conflict_tradeoff_case,4,Fixed Pareto-QAOA,0.9781319926292676,0.9146178662810102,0.6791988419900761,0.6350956724885972,0.43466584383275914,0.8693316876655183,0.923731840147393,13,0.7,1.0,1.0,0.0,0.04762721061706543,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive weights only,0.8711757606310054,0.8146067415730337,0.6043651713261087,0.5651212593169431,0.3865712311683571,0.7731424623367142,0.8221591114838598,12,0.6,1.0,1.0,0.0,0.064208984375,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive CVaR only,0.9201924097781512,0.8604405384358661,0.6166193336128949,0.5765797085326511,0.3865712311683571,0.7731424623367142,0.8466674360574327,17,0.5,1.0,1.0,0.0,0.05387687683105469,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive candidate diversity only,0.9201924097781512,0.8604405384358661,0.6166193336128949,0.5765797085326511,0.3865712311683571,0.7731424623367142,0.8466674360574327,17,0.5,1.0,1.0,0.0,0.0577239990234375,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive resources only,0.9201924097781512,0.8604405384358661,0.6166193336128949,0.5765797085326511,0.3865712311683571,0.7731424623367142,0.8466674360574327,17,0.5,1.0,1.0,0.0,0.049280643463134766,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive weights + CVaR,0.8711757606310054,0.8146067415730337,0.6043651713261087,0.5651212593169431,0.3865712311683571,0.7731424623367142,0.8221591114838598,12,0.6,1.0,1.0,0.0,0.04600715637207031,400,False,False,False
high_conflict_tradeoff_case,4,Adaptive weights + diversity,0.8711757606310054,0.8146067415730337,0.6043651713261087,0.5651212593169431,0.3865712311683571,0.7731424623367142,0.8221591114838598,12,0.6,1.0,1.0,0.0,0.05178546905517578,400,False,False,False
high_conflict_tradeoff_case,4,Full AI-Adaptive Pareto-QAOA,0.8711757606310054,0.8146067415730337,0.6043651713261087,0.5651212593169431,0.3865712311683571,0.7731424623367142,0.8221591114838598,12,0.6,1.0,1.0,0.0,0.05337071418762207,400,False,False,False
high_conflict_tradeoff_case,4,Replay-Adaptive Schedule,0.861836423354183,0.8058738458115475,0.6391199981030743,0.597619312493047,0.42366089226452863,0.8473217845290573,0.8545791039416202,16,0.7,1.0,1.0,0.0,0.04932355880737305,400,False,False,False
energy_dominated_case,0,Fixed Pareto-QAOA,0.9098458075583629,0.8701939830410036,0.5660652176871901,0.5413956324776397,0.3386037657975994,0.6772075315951988,0.7935266695767809,4,0.3,1.0,0.65,0.0,0.04474139213562012,300,False,False,False
energy_dominated_case,0,Adaptive weights only,0.7096955184498824,0.6787664072482287,0.48527032701400036,0.46412184922755256,0.3078464474015298,0.6156928948030596,0.6626942066264709,10,0.3,1.0,1.0,0.0,0.04023551940917969,300,False,False,False
energy_dominated_case,0,Adaptive CVaR only,0.7624049999262662,0.7291787664072483,0.49844769738309636,0.4767249390173075,0.3078464474015298,0.6156928948030596,0.6890489473646628,8,0.3,1.0,0.65,0.0,0.047997236251831055,300,False,False,False
energy_dominated_case,0,Adaptive candidate diversity only,0.7624049999262662,0.7291787664072483,0.49844769738309636,0.4767249390173075,0.3078464474015298,0.6156928948030596,0.6890489473646628,8,0.3,1.0,0.65,0.0,0.050615787506103516,300,False,False,False
energy_dominated_case,0,Adaptive resources only,0.7624049999262662,0.7291787664072483,0.49844769738309636,0.4767249390173075,0.3078464474015298,0.6156928948030596,0.6890489473646628,8,0.3,1.0,0.65,0.0,0.04757237434387207,300,False,False,False
energy_dominated_case,0,Adaptive weights + CVaR,0.7096955184498824,0.6787664072482287,0.48527032701400036,0.46412184922755256,0.3078464474015298,0.6156928948030596,0.6626942066264709,10,0.3,1.0,1.0,0.0,0.04542422294616699,300,False,False,False
energy_dominated_case,0,Adaptive weights + diversity,0.7096955184498824,0.6787664072482287,0.48527032701400036,0.46412184922755256,0.3078464474015298,0.6156928948030596,0.6626942066264709,10,0.3,1.0,1.0,0.0,0.04300808906555176,300,False,False,False
